Material,Quantity,Frequency,Description,Location
FTR15B24,16.0,0.028871391076115485,FEVERTREE RASPBERRY 1/5 BJ-24U.,660-076-10
0RF0149,12.0,0.028871391076115485,FANTA ZER LIM LATA33 C24,660-077-10
0RF0882,396.0,0.026246719160104987,SPRITE ZER LATA33 C24 CCO8,660-079-10
0VE0095,106.0,0.026246719160104987,PORTIA CRIANZA 75CL 6U,660-080-10
0AM1168,82.0,0.026246719160104987,MARINAS PATATAS PIMIENTA VINAGRE 47G 10u,660-081-10
UE931CATN,48.0,0.026246719160104987,PIZARRA PARED ED,660-082-10
GBD20,13.0,0.026246719160104987,GRIMBERGEN DOUBLE AMBREE BARRIL 20L. RET,660-083-10
0RF0896,11.0,0.026246719160104987,MONSTER KHAOTIC JUICE LATA50 C24,660-084-10
1PLV0500,480.0,0.023622047244094488,VASO 50CL 70W CC CUP (50) ES,660-085-10
0RF1070,69.0,0.023622047244094488,RED BULL WATER MELON 25CL LATA 24U,660-087-10
0RF1074,37.0,0.023622047244094488,RED BULL COCO Y ARANDANOS LT 25CL 24U,660-088-10
0ZU0138,35.0,0.023622047244094488,MINUTE MAID UVA VNR20 C24,660-089-10
0ZU0729,24.0,0.023622047244094488,NEKTAR GOLD PREMIUM ORANGE PLUS TUBE 8L,660-090-10
NTS32SP6,20.0,0.023622047244094488,NESTEA LIMON SIN 3/2 SR PET 6U.,660-091-10
1PLV0501,260.0,0.02099737532808399,VASO 75CL 32oz CC CUP (50) ES,660-092-10
0AG0029,212.0,0.02099737532808399,VILAS TURBON AGUA VNR75L C6,660-093-10
0RF0535,178.0,0.02099737532808399,COCACOLA LATA20 P6,660-094-10
0RF1665,16.0,0.02099737532808399,ROYAL BLISS POMELO VNR20 C24,660-095-10
0RF1633,15.0,0.02099737532808399,COCACOLA ZER LATA33 P6,660-096-10
0RF0897,8.0,0.02099737532808399,MONSTER ULTRA WATERMELON LT50 C24,680-044-10
0ZU0445,16.0,0.01837270341207349,NEKTAR GOLD MANGO TUBE BIB 8L.,680-045-10
0RF0870,10.0,0.01837270341207349,FANTA SANDIA S/AZ LATA33 C24,680-046-10
UE962CAT,550.001,0.015748031496062992,ABRIDOR ED CAT,680-047-10
0RF1683,363.222,0.015748031496062992,MONSTER JUICED RIO PUNCH LT50 C24,680-048-10
1PLV214,240.0,0.015748031496062992,TAPA VASO 40/50 cl 100u,680-049-10
0CZ0159,168.0,0.015748031496062992,GUINNESS BARRIL 30L,680-050-10
0VE2468,41.0,0.015748031496062992,FAUSTINO I GRAN RESERVA 75CL 6U,680-051-10
0VE1081,25.0,0.015748031496062992,NAIADA TINTO 75CL 6U,680-052-10
0ZU0451,20.0,0.015748031496062992,NEKTAR SILVER PREMIUM ORANGE TUBE BIB 8L,680-053-10
0RF0006,12.0,0.015748031496062992,FUENTPINOS GASEOSA 50CL RET 20U ,680-054-10
FDL13LT,10.0,0.015748031496062992,FREE DAMM LIMON 1/3 LATA,680-055-10
0RF0024,7.0,0.015748031496062992,COCACOLA SCF LATA33 C24,680-056-10
0RF1675,363.0,0.013123359580052493,MONSTER ULTRA STWBERRY DREAMS LT50 C24,680-058-10
UVD105,300.0,0.013123359580052493,COPA 33 CL VD,680-059-10
1PLV0098,73.0,0.013123359580052493,COPA VINO FAUSTINO 6U,680-060-10
0VE1064,38.0,0.013123359580052493,MARQUES VITORIA VERDEJO 75CL  6U,680-062-10
0AM1499,21.0,0.013123359580052493,BARGASOL ACEITE GIRASOL ALTO OLEICO 5L,680-063-10
0ZU0457,8.0,0.013123359580052493,NEKTAR VITA GREEN APPEL+LEMON+CUCUMBER 8,680-064-10
FTM15C4B,8.0,0.013123359580052493,FEVERTREE MEDITERRAN. TONIC 1/5 B6 CES4U,680-065-10
0RF1611,5.0,0.013123359580052493,FUZE TEA PEACH HIBISCUS PET1.5L C6,680-066-10
1PLV212,220.0,0.010498687664041995,VASO 40 CL 50W CC CUP (50),680-067-10
0AG0370,120.3,0.010498687664041995,FONT D'OR PALLADIUM 1/3 LATA SLEEK 24U,680-068-10
0RF0434,38.0,0.010498687664041995,NORDIC MIST TON BIB5L,680-069-10
0AG0136,11.0,0.010498687664041995,MONTE PINOS NATURAL 1/3 SR 24U,680-070-10
RB30,5.0,0.010498687664041995,ROSA BLANCA BARRIL 30L.,680-071-10
0VE0712,4.0,0.010498687664041995,FER VOLAR COLOMS D.O.CATALUNYA  6U,680-073-10
0RA0004,4.0,0.010498687664041995,"DON SIMON SANGRIA 1,5L 6U",680-074-10
0RF0617,157.0,0.007874015748031496,BURN ZERO RASPBERRY LATA50 C12,680-075-10
1PLV217,66.0,0.007874015748031496,TAPA VASO 75 cl 100u,680-076-10
0AG0131,57.0,0.007874015748031496,MONTE PINOS NATURAL 1/3 PET 35U,680-079-10
0RF0616,19.0,0.007874015748031496,BURN ZERO PEACH LATA50 C12,680-080-10
0RF0097,3.0,0.007874015748031496,COCACOLA PET2L P2 C3,680-081-10
1PLV202,3.0,0.007874015748031496,GRANINI NEVERA PREM 3 ALT BARRAS,680-083-10
0RF0065,38.0,0.005249343832020997,COCA COLA LSC LATA33 C24,680-084-10
0AM2163,24.0,0.005249343832020997,GALLINA BLANCA TOMATE TAMIZADO 4KG,680-087-10
FTG15C4B,22.0,0.005249343832020997,FEVERTREE GINGER ALE 1/5 BJ-6 CESTA 4U.,680-090-10
0AG0424,19.0,0.005249343832020997,MONTE PINOS NATURAL RING PULL 1/2 RET20U,680-091-10
0AG0129,11.0,0.005249343832020997,"MONTE PINOS NATURAL 1,5L PET 12U",680-092-10
0VE0510,8.0,0.005249343832020997,VALDUBON VERDEJO BLANC 75CL 6U,690-002-10
0RF1001,3.0,0.005249343832020997,MONSTER RESERVE WHITE PINEAPPLE LT50 24U,690-004-10
0VE1080,3.0,0.005249343832020997,NAIADA ROSADO 75CL 6U,690-008-10
0RF0599,2.0,0.005249343832020997,MONSTER MONARCH LATA50 C24,690-009-10
0ZU0444,2.0,0.005249343832020997,NEKTAR GOLD PINEAPLLE TUBE BIB 8L.,690-011-10
UE926CATN,500.0,0.0026246719160104987,POSAVASOS ED CAT,690-012-10
UT302X,312.0,0.0026246719160104987,COPA 33 CL TU P,690-014-10
UE975T,200.0,0.0026246719160104987,VASO PAPEL ED 33CL,690-015-10
1PLV0034,120.0,0.0026246719160104987,SERVILLETERO CACAOLAT,690-017-10
1PLV0205,100.0,0.0026246719160104987,FAUSTINO MANGA ENFRIADORA,690-019-10
UV020X,60.0,0.0026246719160104987,SERVILLETERO METALICO VO,690-022-10
UT302,60.0,0.0026246719160104987,COPA 30 CL TURIA,690-025-10
0RF1622,39.0,0.0026246719160104987,LIMCA PET1L C12,690-026-10
UC406N,34.0,0.0026246719160104987,ABRIDOR MOSTRADOR ED,690-027-10
FTS1524B,12.0,0.0026246719160104987,FEVERTREE SODA WATER 1/5 BANDEJA 24U.,690-028-10
